run_id,status,elapsed_seconds,energy_joules,avg_power_watts,error_message
1,ok,60.001949779,20.280000000,0.337989017,
2,ok,60.001654814,25.140000000,0.418988444,
3,ok,60.001024434,19.060000000,0.317661243,
4,ok,60.001590002,19.230000000,0.320491507,
5,ok,60.001756450,31.710000000,0.528484529,
6,ok,60.001442479,26.880000000,0.447989230,
7,ok,60.001545363,37.360000000,0.622650630,
8,ok,60.001770552,17.850000000,0.297491221,
9,ok,60.001625612,17.520000000,0.291992089,
10,ok,60.001597416,19.050000000,0.317491547,
11,ok,60.001605035,19.780000000,0.329657848,
12,ok,60.001777098,17.550000000,0.292491337,
13,ok,60.001607239,17.780000000,0.296325396,
14,ok,60.001613207,18.650000000,0.310824976,
15,ok,60.001499876,17.580000000,0.292992676,
16,ok,60.001647882,17.330000000,0.288825401,
17,ok,60.001628762,16.980000000,0.282992318,
18,ok,60.001708583,17.640000000,0.293991628,
19,ok,60.001541867,16.620000000,0.276992882,
20,ok,60.001575900,17.450000000,0.290825695,
21,ok,60.001439920,17.700000000,0.294992921,
22,ok,60.001262317,17.370000000,0.289493909,
23,ok,60.001681232,18.100000000,0.301658214,
24,ok,60.001565026,16.010000000,0.266826373,
25,ok,60.001561130,18.630000000,0.310491921,
26,ok,60.001697770,18.170000000,0.302824765,
27,ok,60.001592885,18.000000000,0.299992036,
28,ok,60.001807171,16.710000000,0.278491612,
29,ok,60.001641362,16.010000000,0.266826034,
30,ok,60.001664585,20.170000000,0.336157341,
