implementation_type,model,prompt_type,language,category,snippet,script_path,run_id,status,elapsed_seconds,energy_joules,avg_power_watts,error_message
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,1,ok,0.589531135,9.660000000,16.385903011,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,2,ok,0.591086285,10.070000000,17.036429800,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,3,ok,0.592106850,9.800000000,16.551066754,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,4,ok,0.591981810,9.790000000,16.537670304,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,5,ok,0.589947130,10.030000000,17.001523509,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,6,ok,0.591693527,9.820000000,16.596429658,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,7,ok,0.591337286,9.960000000,16.843179410,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,8,ok,0.590323497,9.900000000,16.770465771,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,9,ok,0.588856606,9.790000000,16.625439708,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,10,ok,0.590548307,9.830000000,16.645547677,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,11,ok,0.589230172,10.000000000,16.971296575,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,12,ok,0.588777155,9.840000000,16.712604958,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,13,ok,0.588832665,9.920000000,16.846891468,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,14,ok,0.588509426,9.940000000,16.890128791,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,15,ok,0.588276200,10.100000000,17.168806081,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,16,ok,0.588835897,9.990000000,16.965677621,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,17,ok,0.592011356,10.300000000,17.398314907,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,18,ok,0.589925365,10.090000000,17.103858553,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,19,ok,0.589284695,9.990000000,16.952756596,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,20,ok,0.590494414,10.190000000,17.256725480,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,21,ok,0.590228650,9.960000000,16.874816226,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,22,ok,0.589360664,9.960000000,16.899668757,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,23,ok,0.590569082,10.100000000,17.102148263,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,24,ok,0.589124480,10.160000000,17.245930775,
candidate,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,25,ok,0.589205895,10.030000000,17.022911829,
