model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,elapsed_seconds_cliffs_delta_abs,elapsed_seconds_cliffs_delta_magnitude,elapsed_seconds_cliffs_delta_direction,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,energy_joules_cliffs_delta_abs,energy_joules_cliffs_delta_magnitude,energy_joules_cliffs_delta_direction,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,avg_power_watts_cliffs_delta_abs,avg_power_watts_cliffs_delta_magnitude,avg_power_watts_cliffs_delta_direction,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,0.0,3.0198593591621564e-11,0.1727563323,0.5877041638,0.172794851,0.587691752,-70.60488202380846,-70.59770697615645,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.944995474369126e-11,2.8269999999999995,9.691666666666666,2.825,9.7,-70.83061049011178,-70.8762886597938,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,309.0,0.037782017894167214,16.36412663853333,16.490929554299996,16.3379328615,16.468379943000002,-0.7689252164296594,-0.7921063392483184,-0.31333333333333335,-0.31333333333333335,0.31333333333333335,small,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.05734770573221809
gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,30,30,0.0,3.0198593591621564e-11,0.1736458229333334,0.6203006892333333,0.1734220725,0.619173945,-72.00618571809864,-71.99138079041747,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.9376029950827966e-11,2.8356666666666666,10.174666666666669,2.825,10.165,-72.13012711309135,-72.20855878012789,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,351.0,0.14531912724086538,16.330287971066667,16.403175427300006,16.272196428999997,16.4126949485,-0.4443496721496456,-0.8560356476548268,-0.21999999999999997,-0.22,0.22,small,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.1960654891345009
gemini,base,python,data_visualization,01_scatter_trend_grouped,original,30,30,496.0,0.501143667603293,0.9120858702666667,0.9117480123333335,0.91303625,0.9092514925,0.037056064698023736,0.41624979790725586,0.10222222222222221,0.10222222222222223,0.10222222222222223,negligible,candidate_higher_elapsed_seconds,354.5,0.1600652188947107,15.065000000000001,15.159666666666663,15.08,15.14,-0.6244640383473357,-0.39630118890356997,-0.2122222222222222,-0.21222222222222223,0.21222222222222223,small,candidate_lower_energy_joules,324.0,0.0635326507348074,16.517176775833335,16.627998249766666,16.5240762225,16.6298251815,-0.6664751359045062,-0.6358994027047319,-0.28,-0.28,0.28,small,candidate_lower_avg_power_watts,0.5071096636461894,0.1679696741487705,0.094741672148397
gemini,base,python,data_visualization,02_distribution_boxplot,original,30,30,0.0,3.0198593591621564e-11,0.48223477750000004,0.8475414639000001,0.482369045,0.845047822,-43.10192503373521,-42.91813641287629,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.9878326118129625e-11,8.050999999999998,14.261666666666665,8.035,14.27,-43.54797242024075,-43.69306236860546,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,280.0,0.012211939665202362,16.695329895133334,16.827555831333335,16.689426342,16.8570050035,-0.7857703015537947,-0.9941188334772659,-0.37777777777777777,-0.37777777777777777,0.37777777777777777,medium,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.019585186255513223
gemini,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,30,30,0.0,3.0198593591621564e-11,2.5647560284333335,3.115271052633334,2.563350341,2.7244318635,-17.671496794304655,-5.912481228033471,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.012295606683285e-11,42.946333333333335,97.661,43.03,101.845,-56.025093606113664,-57.74952133143503,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,0.0,3.0198593591621564e-11,16.744732326866668,33.22653140563333,16.751969588,37.2689103405,-49.604332385932665,-55.051088333549444,-1.0,-1.0,1.0,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,1.6043002845548956e-10
gemini,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,original,30,30,838.0,1.0104532753263796e-08,12.2705374663,12.182617280799999,12.2565238705,12.174177088,0.7216855251503731,0.6764053283007424,0.8622222222222222,0.8622222222222222,0.8622222222222222,large,candidate_higher_elapsed_seconds,566.0,0.08769275789646429,194.40933333333334,193.51733333333328,194.54500000000002,193.115,0.4609406220287173,0.740491417031306,0.2577777777777779,0.2577777777777778,0.2577777777777778,small,candidate_higher_energy_joules,389.0,0.37107703212651433,15.843826111666669,15.884592850799999,15.870637179,15.858321345,-0.25664327387073715,0.07766164988125933,-0.13555555555555554,-0.13555555555555557,0.13555555555555557,negligible,candidate_lower_avg_power_watts,1.1928962278158647e-08,0.09556262078460852,0.4442471511373763
gemini,base,python,statistical_modelling_analysis,01_linear_regression_inference,original,30,30,0.0,3.0198593591621564e-11,0.5792742247333333,0.7242042895333333,0.579537572,0.7233002425,-20.01231791838609,-19.875932849559362,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,2.956116021006751e-11,9.522333333333336,12.029666666666667,9.5,12.0,-20.842916124026697,-20.833333333333336,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,241.0,0.002052333872380414,16.438424479800002,16.611134751399998,16.417867508,16.546834465499998,-1.0397259078609307,-0.7794056184516295,-0.46444444444444444,-0.46444444444444444,0.46444444444444444,medium,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.664130506757962e-11,0.003560171003108881
gemini,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,30,30,0.0,3.0198593591621564e-11,0.7306331826000001,0.7562265260666666,0.730396679,0.7555736799999999,-3.3843488140761537,-3.3321701994701387,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.5,3.1376841158237284e-11,11.973666666666666,12.538666666666666,11.945,12.52,-4.506061250531685,-4.592651757188493,-0.9988888888888889,-0.9988888888888889,0.9988888888888889,large,candidate_lower_energy_joules,228.0,0.00105755431847824,16.388282697,16.580972812166667,16.360971039,16.5601725545,-1.1621158622567396,-1.2028951681778832,-0.4933333333333333,-0.49333333333333335,0.49333333333333335,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.762556247232445e-11,0.001954176458057617
gemini,base,r,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,13.0,1.0936695631098952e-10,0.08094606609999998,0.09235858213333334,0.0802375305,0.092040134,-12.356746682032968,-12.823322812633014,-0.9711111111111111,-0.9711111111111111,0.9711111111111111,large,candidate_lower_elapsed_seconds,279.0,0.011285513585923612,1.351,1.375,1.3450000000000002,1.37,-1.745454545454547,-1.8248175182481685,-0.38,-0.38,0.38,medium,candidate_lower_energy_joules,881.0,1.9567799598061047e-10,16.6976922408,14.912474712400002,16.7103144365,14.9225426705,11.97130297170298,11.980342797304912,0.9577777777777778,0.9577777777777777,0.9577777777777777,large,candidate_higher_avg_power_watts,1.3280273266334443e-10,0.012963089929777122,7.920299837310423e-10
gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,30,30,4.0,4.504322112705283e-11,0.08081021500000002,0.09346561816666667,0.0803302725,0.0931990285,-13.540169545660843,-13.807822041835994,-0.9911111111111112,-0.9911111111111112,0.9911111111111112,large,candidate_lower_elapsed_seconds,173.0,3.968587793546354e-05,1.3596666666666666,1.3976666666666666,1.36,1.4,-2.718817076079182,-2.857142857142844,-0.6155555555555556,-0.6155555555555555,0.6155555555555555,large,candidate_lower_energy_joules,891.0,7.389082518022346e-11,16.8301057641,14.984865645500001,16.753255306,14.9893468245,12.314025112091215,11.767747468601511,0.98,0.98,0.98,large,candidate_higher_avg_power_watts,5.714438501193269e-11,5.034775558976718e-05,3.30564217911526e-10
