model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,elapsed_seconds_cliffs_delta_abs,elapsed_seconds_cliffs_delta_magnitude,elapsed_seconds_cliffs_delta_direction,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,energy_joules_cliffs_delta_abs,energy_joules_cliffs_delta_magnitude,energy_joules_cliffs_delta_direction,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,avg_power_watts_cliffs_delta_abs,avg_power_watts_cliffs_delta_magnitude,avg_power_watts_cliffs_delta_direction,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
gemini,base,python,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,0.0,3.0198593591621564e-11,0.1727563323,0.5877041638,0.172794851,0.587691752,-70.60488202380846,-70.59770697615645,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,2.7705380206,9.499587221966667,2.7685199794999997,9.5073405555,-70.83517466744807,-70.8801850176871,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,309.0,0.037782017894167214,16.037296480533332,16.1640993963,16.0111027035,16.141549785000002,-0.7844725069909738,-0.8081447149592991,-0.31333333333333335,-0.31333333333333335,0.31333333333333335,small,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,0.05734770573221809
gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,30,30,0.0,3.0198593591621564e-11,0.1736458229333334,0.6203006892333333,0.1734220725,0.619173945,-72.00618571809864,-71.99138079041747,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,2.7789139749000005,9.971933694333336,2.768084301,9.9610617495,-72.13264688593799,-72.21095129604086,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,351.0,0.14531912724086538,16.003457813066667,16.076345269300003,15.945366271000001,16.0858647905,-0.4533832473262682,-0.8734284499455396,-0.21999999999999997,-0.22,0.22,small,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,0.1960654891345009
gemini,base,python,data_visualization,01_scatter_trend_grouped,original,30,30,496.0,0.501143667603293,0.9120858702666667,0.9117480123333335,0.91303625,0.9092514925,0.037056064698023736,0.41624979790725586,0.10222222222222221,0.10222222222222223,0.10222222222222223,negligible,candidate_higher_elapsed_seconds,352.0,0.14944870623046316,14.766902830933335,14.861679919766665,14.7822741445,14.839879339,-0.6377279644360596,-0.38817832129274366,-0.21777777777777774,-0.21777777777777776,0.21777777777777776,small,candidate_lower_energy_joules,324.0,0.0635326507348074,16.19034661783333,16.301168091766666,16.1972460645,16.3029950235,-0.6798376245767821,-0.6486474347048959,-0.28,-0.28,0.28,small,candidate_lower_avg_power_watts,0.5071096636461894,0.16079924088087807,0.094741672148397
gemini,base,python,data_visualization,02_distribution_boxplot,original,30,30,0.0,3.0198593591621564e-11,0.48223477750000004,0.8475414639000001,0.482369045,0.845047822,-43.10192503373521,-42.91813641287629,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,7.8933911315000005,13.984664556066669,7.876742575,13.991418737,-43.55680753117686,-43.70304596652427,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,280.0,0.012211939665202362,16.368499737133334,16.50072567333333,16.362596184,16.5301748455,-0.8013340674688427,-1.0137742828873852,-0.37777777777777777,-0.37777777777777777,0.37777777777777777,medium,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,0.019585186255513223
gemini,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,30,30,0.0,3.0198593591621564e-11,2.5647560284333335,3.115271052633334,2.563350341,2.7244318635,-17.671496794304655,-5.912481228033471,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,42.10809371523333,96.64283546966665,42.1936509175,100.956781893,-56.42916155078063,-58.206224360222436,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,0.0,3.0198593591621564e-11,16.417902168866664,32.89970124763333,16.42513943,36.9420801825,-50.09710864761211,-55.53813063894321,-1.0,-1.0,1.0,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,1.6043002845548956e-10
gemini,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,original,30,30,838.0,1.0104532753263796e-08,12.2705374663,12.182617280799999,12.2565238705,12.174177088,0.7216855251503731,0.6764053283007424,0.8622222222222222,0.8622222222222222,0.8622222222222222,large,candidate_higher_elapsed_seconds,564.0,0.09334079652708833,190.39895163449998,189.5356866025333,190.54995880799999,189.1339853995,0.4554630568210569,0.7486615403937462,0.2533333333333334,0.25333333333333335,0.25333333333333335,small,candidate_higher_energy_joules,389.0,0.37107703212651433,15.516995953666669,15.5577626928,15.543807021,15.531491187,-0.262034715005638,0.0792958889247375,-0.13555555555555554,-0.13555555555555557,0.13555555555555557,negligible,candidate_lower_avg_power_watts,1.1928962278158647e-08,0.1030385416208118,0.4442471511373763
gemini,base,python,statistical_modelling_analysis,01_linear_regression_inference,original,30,30,0.0,3.0198593591621564e-11,0.5792742247333333,0.7242042895333333,0.579537572,0.7233002425,-20.01231791838609,-19.875932849559362,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,0.0,3.0198593591621564e-11,9.333009046933334,11.792974864333333,9.3105502825,11.7634327765,-20.859586709032325,-20.851757651050328,-1.0,-1.0,1.0,large,candidate_lower_energy_joules,241.0,0.002052333872380414,16.111594321800002,16.2843045934,16.09103735,16.220004307499998,-1.060593472747979,-0.7951105009285624,-0.46444444444444444,-0.46444444444444444,0.46444444444444444,medium,candidate_lower_avg_power_watts,4.0744134210917984e-11,4.667055373250606e-11,0.003560171003108881
gemini,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,30,30,0.0,3.0198593591621564e-11,0.7306331826000001,0.7562265260666666,0.730396679,0.7555736799999999,-3.3843488140761537,-3.3321701994701387,-1.0,-1.0,1.0,large,candidate_lower_elapsed_seconds,1.0,3.3383888204288e-11,11.734873708199995,12.291509031666665,11.7064841945,12.2732115325,-4.528616641232647,-4.617596107581794,-0.9977777777777778,-0.9977777777777778,0.9977777777777778,large,candidate_lower_energy_joules,228.0,0.00105755431847824,16.061452539,16.254142654166667,16.034140881,16.2333423965,-1.1854831058546855,-1.2271133734168596,-0.4933333333333333,-0.49333333333333335,0.49333333333333335,large,candidate_lower_avg_power_watts,4.0744134210917984e-11,5.067197316722286e-11,0.001954176458057617
gemini,base,r,data_manipulation_preprocessing,01_impute_encode_scale,original,30,30,13.0,1.0936695631098952e-10,0.08094606609999998,0.09235858213333334,0.0802375305,0.092040134,-12.356746682032968,-12.823322812633014,-0.9711111111111111,-0.9711111111111111,0.9711111111111111,large,candidate_lower_elapsed_seconds,309.0,0.037782017894167214,1.3245443844,1.3448144300666665,1.318633688,1.3396148184999999,-1.5072745513045702,-1.5662062116850073,-0.31333333333333335,-0.31333333333333335,0.31333333333333335,small,candidate_lower_energy_joules,881.0,1.9567799598061047e-10,16.3708620828,14.585644554400002,16.3834842785,14.5957125125,12.239551853479497,12.248609065634326,0.9577777777777778,0.9577777777777777,0.9577777777777777,large,candidate_higher_avg_power_watts,1.3280273266334443e-10,0.042819620280056175,7.920299837310423e-10
gemini,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,30,30,4.0,4.504322112705283e-11,0.08081021500000002,0.09346561816666667,0.0803302725,0.0931990285,-13.540169545660843,-13.807822041835994,-0.9911111111111112,-0.9911111111111112,0.9911111111111112,large,candidate_lower_elapsed_seconds,197.0,0.00018916193602108464,1.3332554513999997,1.3671192839333335,1.333366262,1.3700487360000002,-2.4770210567072324,-2.6774575995813508,-0.5622222222222222,-0.5622222222222222,0.5622222222222222,large,candidate_lower_energy_joules,891.0,7.389082518022346e-11,16.5032756061,14.6580354875,16.426425148,14.6625166665,12.58859088022795,12.030052695729017,0.98,0.98,0.98,large,candidate_higher_avg_power_watts,5.714438501193269e-11,0.0002364524200263558,3.30564217911526e-10
