dataset,script_id,model,prompt_type,language,category,snippet,metric,n,mean,median,std,min,max,skewness,kurtosis_excess,shapiro_w,shapiro_p_value,normality_rejected_0_05,note
original,script_1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,avg_power_watts,30,16.490929554299996,16.468379943000002,0.21248693898004165,16.116812221,17.008074679,0.3861425532956995,-0.27502671808895895,0.9781346119342597,0.7740820595180906,False,
original,script_1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,30,0.5877041638,0.587691752,0.002727597266191376,0.583269936,0.595585254,1.1195404824048,2.017681057806758,0.916252120652825,0.021465154457182525,True,
original,script_1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,30,9.691666666666666,9.7,0.12306665794946496,9.43,9.96,0.11997720333889449,-0.40319403113198815,0.9860428229817898,0.9535774988482999,False,
original,script_10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,30,14.984865645500001,14.9893468245,0.8283427944482579,12.739645326,16.521996077,-0.4450812052036491,0.274982103874164,0.9579064974744463,0.27359675638749736,False,
original,script_10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,30,0.09346561816666667,0.0931990285,0.003936977990064873,0.087984595,0.105183462,0.8986624435160805,1.3265426775205222,0.9359746714644297,0.07089742995246384,False,
original,script_10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,1.3976666666666666,1.4,0.033289051045955455,1.34,1.49,0.64531918265013,0.8628652406415678,0.9588377714364354,0.2892041179912365,False,
original,script_11,original,base,r,data_visualization,01_scatter_trend_grouped,avg_power_watts,30,15.192705329966667,15.070589523999999,0.5500898798358487,14.393746839,16.264187657,0.40464716965629594,-1.193177532146056,0.9119946350019879,0.016713408334820684,True,
original,script_11,original,base,r,data_visualization,01_scatter_trend_grouped,elapsed_seconds,30,0.11433397246666668,0.1144237505,0.002686373635166802,0.109903586,0.11961038,0.07124534424883476,-0.686529440066681,0.9728831897905907,0.6206866613912254,False,
original,script_11,original,base,r,data_visualization,01_scatter_trend_grouped,energy_joules,30,1.736,1.73,0.04327936515564739,1.68,1.87,1.235872961360861,1.9273992107509077,0.9047517367773945,0.010997552596513981,True,
original,script_12,original,base,r,data_visualization,02_distribution_boxplot,avg_power_watts,30,15.360519849400001,15.203357181000001,0.6892174124556065,13.305644313,16.670113309,-0.4290105696395866,1.5073556138663058,0.9400249671451957,0.09109964917005667,False,
original,script_12,original,base,r,data_visualization,02_distribution_boxplot,elapsed_seconds,30,0.1179408338,0.11801191350000001,0.0037043950478562737,0.112176802,0.131523131,1.6126101014985543,5.237758541839746,0.8672565884125,0.0014564113083677822,True,
original,script_12,original,base,r,data_visualization,02_distribution_boxplot,energy_joules,30,1.809666666666667,1.8,0.05013659502718088,1.75,1.93,0.7615927058844102,-0.37893062666032495,0.9033856897153608,0.010173229635520665,True,
original,script_13,original,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,avg_power_watts,30,17.861897612766665,17.9164873055,0.3311826935823445,17.121644999,18.428105778,-0.40236164858627216,-0.26328012488603303,0.9751722261562915,0.6878050485266145,False,
original,script_13,original,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,elapsed_seconds,30,2.0172275167666665,2.0093385165,0.015408510267191738,2.000375048,2.058190635,1.185698786020917,0.4689366510872701,0.837738943104056,0.0003469673146663724,True,
original,script_13,original,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,energy_joules,30,36.028,36.065,0.5109720283861954,34.67,36.89,-0.39693715938789764,0.24368894619002468,0.9712860943489723,0.5749356532377776,False,
original,script_14,original,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,avg_power_watts,30,17.117861164566666,17.1415178285,0.25923384276058753,16.581662671,17.512814999,-0.16707832461283076,-0.7791848167936033,0.9657845473084814,0.43112628738449904,False,
original,script_14,original,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,elapsed_seconds,30,1.4876295009333338,1.488366254,0.01310246963263058,1.469209833,1.50889573,0.09296331392350503,-1.4580886009143925,0.9221280986802449,0.030467268832252738,True,
original,script_14,original,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,energy_joules,30,25.463000000000005,25.43,0.3029527105466893,24.73,25.92,-0.3349472907724538,-0.4424212198144666,0.9616500967646251,0.34112998711946363,False,
original,script_15,original,base,r,statistical_modelling_analysis,01_linear_regression_inference,avg_power_watts,30,15.026212549900002,15.054077848999999,0.6493597734709788,13.258721603,16.614001692,-0.12558166494147144,1.5829353572869262,0.9717126828147649,0.5870269283287163,False,
original,script_15,original,base,r,statistical_modelling_analysis,01_linear_regression_inference,elapsed_seconds,30,0.09961929943333334,0.09881026849999999,0.003924616395057375,0.094498606,0.111235654,1.5079950948592291,2.7168401365292443,0.8678272578991131,0.0014992926996512427,True,
original,script_15,original,base,r,statistical_modelling_analysis,01_linear_regression_inference,energy_joules,30,1.495,1.48,0.04125195920112204,1.43,1.59,0.7468164616283295,-0.26925033883581007,0.9247426447422271,0.035666275867828584,True,
original,script_16,original,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,avg_power_watts,30,15.162004638033332,14.9625681425,0.714394582380004,14.238631966,17.390057568,1.3376303666107214,2.0384716040209003,0.8967302068120813,0.0069925887664385325,True,
original,script_16,original,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,elapsed_seconds,30,0.10546008013333336,0.1053258635,0.002273126110100782,0.101331602,0.11205782,0.5116873045820826,1.1910382188150725,0.9646296691664905,0.404333037501063,False,
original,script_16,original,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,energy_joules,30,1.5983333333333336,1.58,0.0689869219656802,1.51,1.87,2.333541358907176,7.437103451547795,0.766811451412398,1.7229395970465358e-05,True,
original,script_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,30,16.403175427300006,16.4126949485,0.21574361291784144,15.957700957,16.7942757,-0.14046115014535215,-0.7661800843074653,0.9766784123921372,0.7320559934538814,False,
original,script_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,30,0.6203006892333333,0.619173945,0.0040829815539008335,0.615251618,0.630571999,0.866599097478283,-0.023977101356857045,0.9144908022098959,0.019347160464229674,True,
original,script_2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,10.174666666666669,10.165,0.13263206387527898,9.94,10.59,0.9030242005369972,1.8946006954469041,0.9465567008362041,0.1366287198450797,False,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,avg_power_watts,30,16.627998249766666,16.6298251815,0.2607309626914065,15.850776959,17.266563002,-0.5234942556492229,2.3148951292303526,0.9563122229033583,0.24862022768200506,False,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,elapsed_seconds,30,0.9117480123333335,0.9092514925,0.007553336505489368,0.901135002,0.935600825,1.1184036459540088,1.7714215031038858,0.9029536015108068,0.00992625813916501,True,
original,script_3,original,base,python,data_visualization,01_scatter_trend_grouped,energy_joules,30,15.159666666666663,15.14,0.21252964634307517,14.8,15.65,0.5043747016321789,0.01040805116257193,0.9702993486106098,0.5473985415935043,False,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,avg_power_watts,30,16.827555831333335,16.8570050035,0.19159689386451909,16.384970012,17.151545158,-0.17671371730544022,-0.4469571173704687,0.970622333532775,0.5563416336348954,False,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,elapsed_seconds,30,0.8475414639000001,0.845047822,0.006042127467422838,0.839759515,0.862375701,0.8666218620175432,-0.07291347040086071,0.9139334658066831,0.018723533333248058,True,
original,script_4,original,base,python,data_visualization,02_distribution_boxplot,energy_joules,30,14.261666666666665,14.27,0.15913740177493832,13.9,14.61,-0.1417582794327439,-0.16567481630185554,0.9907249425250562,0.9942246251853118,False,
